,tag_1,tag_2,count
498,00s,10s,58
504,00s,2007,15
507,00s,2010s,21
521,00s,70s,17
525,00s,80s,67
531,00s,90s,181
542,00s,Acoustic Rock,22
552,00s,All,32
553,00s,Alt-country,57
557,00s,Alternative Folk,15
574,00s,Avant-Garde,26
576,00s,Awesome,69
587,00s,Ballad,17
619,00s,Britrock,18
621,00s,Brooklyn,17
631,00s,California,48
633,00s,Canadian,36
684,00s,Disco,36
688,00s,Dreamy,20
700,00s,Electro Pop,15
705,00s,Electroclash,20
724,00s,Experimental Rock,40
733,00s,Favorite,38
738,00s,Favourites,23
741,00s,Female Voices,15
764,00s,Garage Rock,72
781,00s,Great Lyricists,17
788,00s,Grunge,38
803,00s,Hip-Hop,112
805,00s,House,51
894,00s,Lo-Fi,111
897,00s,Love,127
925,00s,Mellow,119
968,00s,Neo Soul,19
970,00s,Neo-Psychedelia,42
971,00s,Neo-Soul,26
973,00s,New Weird America,25
987,00s,Nu Metal,17
993,00s,Officially Shit,27
1029,00s,Pop-Rock,58
1030,00s,Pop-punk,17
1036,00s,Post Grunge,15
1038,00s,Post punk,17
1041,00s,Post-punk revival,40
1044,00s,Progressive,22
1048,00s,Progressive rock,56
1051,00s,Psychedelic Rock,54
1102,00s,Scottish,24
1143,00s,Soundtrack,29
1161,00s,Sweden,17
1213,00s,UK,157
1216,00s,USA,254
1266,00s,acoustic,156
1307,00s,alternative,567
1308,00s,alternative country,20
1309,00s,alternative dance,22
1311,00s,alternative hip-hop,15
1313,00s,alternative metal,23
1314,00s,alternative pop,24
1319,00s,alternative rock,383
1325,00s,amazing,45
1330,00s,ambient,67
1335,00s,american,391
1337,00s,americana,49
1362,00s,art pop,25
1364,00s,art rock,53
1372,00s,atmospheric,22
1376,00s,australia,17
1377,00s,australian,24
1412,00s,baroque pop,38
1425,00s,beautiful,83
1481,00s,bitch,15
1497,00s,blues,78
1499,00s,blues rock,37
1526,00s,brit rock,21
1527,00s,british,178
1535,00s,britpop,125
1560,00s,canada,30
1570,00s,catchy,15
1575,00s,chamber pop,38
1587,00s,chicago,16
1589,00s,chill,82
1593,00s,chillout,146
1595,00s,chillwave,19
1606,00s,classic rock,87
1639,00s,cool,15
1646,00s,country,47
1661,00s,cute,17
1674,00s,dance,244
1677,00s,dance pop,17
1678,00s,dance punk,15
1680,00s,dance-pop,37
1681,00s,dance-punk,16
1712,00s,deep house,24
1742,00s,diva,47
1744,00s,dj,24
1752,00s,downtempo,43
1757,00s,dream pop,83
1763,00s,dub,17
1768,00s,duo,16
1776,00s,easy listening,39
1786,00s,electro,113
1788,00s,electro house,23
1798,00s,electronic,337
1803,00s,electronica,190
1804,00s,electropop,118
1816,00s,emo,86
1824,00s,england,49
1825,00s,english,98
1838,00s,experimental,206
1855,00s,favorites,160
1860,00s,female,143
1871,00s,female vocalist,181
1872,00s,female vocalists,237
1873,00s,female vocals,30
1890,00s,folk,207
1896,00s,folk rock,81
1900,00s,folk-rock,17
1910,00s,freak folk,40
1927,00s,fun,36
1928,00s,funk,96
1931,00s,funky,32
1948,00s,garage,37
1951,00s,garage rock revival,28
1960,00s,genius,22
1969,00s,german,19
1970,00s,germany,16
1982,00s,glam rock,17
2038,00s,guilty pleasure,26
2039,00s,guitar,38
2053,00s,happy,21
2055,00s,hard rock,77
2056,00s,hardcore,22
2071,00s,heavy metal,25
2078,00s,hip hop,93
2088,00s,hiphop,35
2101,00s,hot,26
2118,00s,idm,16
2126,00s,indie,521
2131,00s,indie electronic,27
2132,00s,indie folk,92
2135,00s,indie pop,324
2140,00s,indie rock,407
2152,00s,indietronica,64
2158,00s,instrumental,28
2194,00s,jazz,85
2252,00s,latin,16
2260,00s,legend,45
2282,00s,london,40
2288,00s,los angeles,20
2320,00s,male,17
2324,00s,male vocalist,42
2325,00s,male vocalists,295
2348,00s,melancholic,23
2349,00s,melancholy,39
2357,00s,metal,57
2379,00s,minimal,27
2457,00s,new rave,19
2459,00s,new wave,80
2461,00s,new york,61
2476,00s,noise,29
2478,00s,noise pop,36
2479,00s,noise rock,20
2522,00s,oldies,16
2543,00s,party,15
2564,00s,piano,48
2566,00s,piano rock,19
2579,00s,political,15
2581,00s,pop,531
2586,00s,pop punk,33
2588,00s,pop rock,163
2611,00s,post-grunge,31
2614,00s,post-punk,100
2616,00s,post-rock,48
2620,00s,power pop,33
2632,00s,producer,15
2646,00s,psychedelic,109
2647,00s,psychedelic folk,19
2648,00s,psychedelic pop,33
2656,00s,punk,135
2659,00s,punk rock,66
2674,00s,quirky,16
2675,00s,r and b,36
2678,00s,r&b,77
2679,00s,r'n'b,33
2686,00s,rap,67
2697,00s,reggae,19
2712,00s,rhythm and blues,37
2714,00s,rnb,106
2721,00s,rock,545
2725,00s,romantic,23
2733,00s,sad,15
2735,00s,sadcore,15
2748,00s,scandinavian,28
2755,00s,scotland,18
2759,00s,seattle,19
2784,00s,sexy,109
2795,00s,shoegaze,48
2806,00s,singer songwriter,16
2807,00s,singer-songwriter,271
2812,00s,ska,18
2828,00s,slowcore,17
2835,00s,soft,17
2836,00s,soft rock,55
2838,00s,songwriter,16
2843,00s,soul,152
2906,00s,swedish,18
2914,00s,synth,20
2917,00s,synth pop,41
2921,00s,synthpop,84
2936,00s,techno,17
2939,00s,teen pop,21
3013,00s,trip hop,16
3014,00s,trip-hop,45
3056,00s,urban,44
3082,00s,want to see live,18
3558,10s,00s,58
3572,10s,2010s,88
3603,10s,<3,18
3610,10s,Albanian,17
3612,10s,All,71
3630,10s,Awesome,20
3662,10s,California,25
3667,10s,Canadian,27
3689,10s,Demi Lovato,15
3713,10s,Energetic,16
3729,10s,Female Voices,25
3742,10s,Garage Rock,18
3764,10s,Hip-Hop,22
3770,10s,House,25
3814,10s,Lo-Fi,40
3858,10s,Need to scrobble,33
3861,10s,Neo-Psychedelia,17
3862,10s,Neo-Soul,18
3917,10s,Psychedelic Rock,20
3921,10s,Queen Bumble Bee,16
3941,10s,Selena Gomez,16
3988,10s,UK,49
3991,10s,USA,99
3994,10s,United States,37
4018,10s,acoustic,42
4036,10s,albania,17
4052,10s,alternative,219
4054,10s,alternative dance,18
4059,10s,alternative pop,16
4065,10s,alternative rock,91
4070,10s,amazing,22
4075,10s,ambient,24
4084,10s,american,166
4097,10s,art pop,28
4100,10s,art rock,26
4128,10s,band,15
4142,10s,beautiful,24
4173,10s,blues,15
4195,10s,british,57
4213,10s,canada,25
4224,10s,chamber pop,19
4228,10s,check out,29
4230,10s,check out this,17
4244,10s,chillout,31
4246,10s,chillwave,20
4280,10s,cute,17
4288,10s,dance,105
4290,10s,dance pop,46
4291,10s,dance-pop,15
4311,10s,deep,18
4312,10s,deep house,15
4325,10s,discovered on facebook,33
4346,10s,downtempo,28
4349,10s,dream pop,51
4356,10s,dubstep,23
4372,10s,electro,56
4380,10s,electronic,154
4384,10s,electronica,67
4385,10s,electropop,84
4397,10s,england,23
4398,10s,english,35
4409,10s,experimental,82
4433,10s,female,39
4442,10s,female vocalist,57
4443,10s,female vocalists,164
4454,10s,folk,91
4458,10s,folk rock,35
4475,10s,funk,16
4621,10s,indie,253
4624,10s,indie electronic,16
4625,10s,indie folk,69
4628,10s,indie pop,193
4631,10s,indie rock,135
4636,10s,indietronica,34
4661,10s,jazz,22
4731,10s,london,32
4732,10s,los angeles,24
4740,10s,love at first listen,21
4758,10s,male vocalists,88
4847,10s,new wave,24
4849,10s,new york,27
4864,10s,noise,18
4865,10s,noise pop,15
4931,10s,piano,27
4944,10s,pop,241
4948,10s,pop rock,53
4968,10s,post-punk,17
4974,10s,power pop,61
4977,10s,powerpop,23
4982,10s,private:watchlist,22
4994,10s,psychedelic,45
4996,10s,psychedelic pop,23
5010,10s,r&b,32
5040,10s,rnb,34
5043,10s,rock,160
5090,10s,sexy,25
5102,10s,shoegaze,20
5114,10s,singer-songwriter,111
5116,10s,singer-songwriters,19
5136,10s,someone special to me made me discover,33
5143,10s,soul,62
5178,10s,summer,23
5201,10s,synthpop,46
5214,10s,teen pop,22
5248,10s,trip-hop,23
5292,10s,via:8tracks,17
5313,10s,want to see live,17
6296,1d,Awesome,15
6308,1d,Fifth Harmony,20
6310,1d,Girl Groups,19
6331,1d,Selena Gomez,17
6339,1d,X factor,25
6343,1d,amazing,15
6344,1d,american,19
6365,1d,dance,19
6373,1d,female vocalists,19
6375,1d,girl group,19
6376,1d,girlband,19
6411,1d,one direction,25
6417,1d,pisam no E3,19
6418,1d,pop,25
6962,2000s,2010s,29
6968,2000s,Afie Jurvanen,18
6981,2000s,Canadian,22
7009,2000s,Progressive rock,23
7036,2000s,alternative,21
7070,2000s,canada,22
7112,2000s,folk,27
7113,2000s,folk pop,18
7139,2000s,indie,30
7141,2000s,indie folk,26
7158,2000s,male vocalists,27
7195,2000s,rock,30
7204,2000s,singer-songwriter,28
7220,2000s,toronto,22
7230,2007,00s,15
7244,2007,dance,15
7250,2007,electronic,15
7252,2007,electropop,15
7547,2010s,00s,21
7550,2010s,10s,88
7557,2010s,2000s,29
7593,2010s,Afie Jurvanen,18
7595,2010s,Albanian,17
7597,2010s,All,41
7645,2010s,Canadian,42
7690,2010s,Energetic,18
7703,2010s,Female Voices,15
7731,2010s,Hip-Hop,22
7765,2010s,Lo-Fi,20
7800,2010s,Need to scrobble,16
7833,2010s,Progressive rock,33
7837,2010s,Queen Bumble Bee,16
7885,2010s,UK,22
7888,2010s,USA,41
7890,2010s,United States,20
7912,2010s,acoustic,26
7922,2010s,albania,17
7938,2010s,alternative,124
7943,2010s,alternative pop,19
7948,2010s,alternative rock,38
7959,2010s,american,76
8050,2010s,british,25
8064,2010s,canada,41
8074,2010s,check out,28
8076,2010s,check out this,16
8120,2010s,dance,59
8123,2010s,dance pop,22
8138,2010s,deep,16
8151,2010s,discovered on facebook,16
8169,2010s,dream pop,23
8192,2010s,electro,39
8200,2010s,electronic,68
8203,2010s,electronica,24
8205,2010s,electropop,47
8224,2010s,experimental,22
8245,2010s,female,24
8254,2010s,female vocalist,38
8255,2010s,female vocalists,86
8266,2010s,folk,76
8269,2010s,folk pop,19
8270,2010s,folk rock,17
8376,2010s,hip hop,15
8397,2010s,indie,139
8402,2010s,indie folk,83
8405,2010s,indie pop,103
8408,2010s,indie rock,55
8425,2010s,jazz,15
8475,2010s,los angeles,15
8494,2010s,male vocalists,54
8570,2010s,new york,18
8610,2010s,ontario,19
8632,2010s,piano,30
8641,2010s,pop,126
8646,2010s,pop rock,32
8668,2010s,power pop,36
8679,2010s,private:watchlist,15
8700,2010s,r&b,23
8725,2010s,rnb,28
8729,2010s,rock,94
8761,2010s,sexy,15
8776,2010s,singer-songwriter,99
8794,2010s,someone special to me made me discover,16
8798,2010s,soul,42
8824,2010s,summer,17
8843,2010s,synthpop,20
8871,2010s,toronto,38
9839,2014,All,16
9878,2014,Hip-Hop,28
9907,2014,Mike Will Made It,17
9954,2014,acoustic,15
9961,2014,alternative,19
10007,2014,british,28
10072,2014,electronic,15
10093,2014,female vocalists,15
10148,2014,indie,30
10155,2014,indie pop,21
10156,2014,indie rock,16
10189,2014,male vocalists,24
10240,2014,pop,29
10271,2014,rap,17
10276,2014,rnb,17
10295,2014,singer-songwriter,20
10345,2014,urban,18
10804,21st century classical,Classical,15
10807,21st century classical,Experimental-Ambient,17
10810,21st century classical,PostClassical,16
10812,21st century classical,alternative,17
10813,21st century classical,ambient,17
10814,21st century classical,ambient piano,17
10815,21st century classical,atmospheric,17
10820,21st century classical,cinematic,17
10823,21st century classical,contemporary classical,17
10825,21st century classical,contemporary piano,17
10826,21st century classical,electro-acoustic,17
10827,21st century classical,electroacoustic,17
10828,21st century classical,electronic,17
10830,21st century classical,ethereal,17
10837,21st century classical,instrumental,17
10839,21st century classical,melancholic,17
10840,21st century classical,melancholy,17
10842,21st century classical,minimal ambient,17
10843,21st century classical,minimal piano,17
10844,21st century classical,minimalism,17
10845,21st century classical,minimalist,17
10847,21st century classical,modern classical,17
10848,21st century classical,modern composition,17
10849,21st century classical,neo classical,17
10850,21st century classical,neo-classical,17
10851,21st century classical,neoclassical,17
10852,21st century classical,new age,17
10855,21st century classical,piano,17
10856,21st century classical,piano ambient,17
10860,21st century classical,post-classical,17
10964,2NE1,Korean,15
10969,2NE1,Kpop,15
10988,2NE1,dance,15
11000,2NE1,female vocalists,15
11018,2NE1,k-pop,15
11033,2NE1,pop,15
11046,2NE1,yg family,15
11051,2pac,Gangsta Rap,16
11052,2pac,Hip-Hop,16
11055,2pac,West Coast Rap,16
11061,2pac,hip hop,16
11068,2pac,rap,16
11443,3 Doors Down,alternative,17
11445,3 Doors Down,alternative rock,17
11450,3 Doors Down,hard rock,17
11458,3 Doors Down,rock,17
11953,4ad,alternative,30
11955,4ad,alternative rock,15
12001,4ad,dream pop,25
12010,4ad,electronic,15
12016,4ad,ethereal,16
12020,4ad,experimental,18
12026,4ad,female vocalists,22
12061,4ad,indie,29
12066,4ad,indie pop,15
12067,4ad,indie rock,16
12114,4ad,post-punk,25
12133,4ad,rock,16
12145,4ad,shoegaze,22
12263,5 Seconds of Summer,5SOS,16
12290,5 Seconds of Summer,australian,27
12320,5 Seconds of Summer,pop,27
12321,5 Seconds of Summer,pop punk,27
12322,5 Seconds of Summer,pop rock,27
12534,50 Cent,Gangsta Rap,31
12535,50 Cent,Hip-Hop,31
12552,50 Cent,hip hop,31
12564,50 Cent,rap,31
12650,50s,60s,43
12680,50s,Rock and Roll,37
12693,50s,american,48
12699,50s,blues,49
12706,50s,classic rock,40
12712,50s,country,18
12744,50s,jazz,25
12755,50s,legend,15
12759,50s,male vocalists,31
12767,50s,oldies,58
12771,50s,pop,28
12777,50s,rhythm and blues,17
12779,50s,rock,40
12781,50s,rock n roll,34
12784,50s,rockabilly,35
12789,50s,singer-songwriter,20
12792,50s,soul,23
12800,50s,vocal jazz,15
13004,5SOS,5 Seconds of Summer,16
13032,5SOS,australian,16
13062,5SOS,pop,16
13063,5SOS,pop punk,16
13064,5SOS,pop rock,16
13532,60s,50s,43
13539,60s,70s,255
13542,60s,80s,94
13544,60s,90s,29
13546,60s,Acid Rock,31
13551,60s,Avant-Garde,17
13564,60s,Blue-Eyed Soul,16
13571,60s,California,21
13572,60s,Canadian,28
13585,60s,Disco,17
13593,60s,Experimental Rock,18
13605,60s,Garage Rock,15
13607,60s,George Ellias,21
13627,60s,Jam,20
13644,60s,Mellow,16
13668,60s,Progressive rock,54
13671,60s,Psychedelic Rock,298
13679,60s,Rock and Roll,105
13691,60s,Soundtrack,24
13693,60s,Southern Rock,50
13701,60s,Surf,68
13709,60s,The Beatles,20
13719,60s,UK,32
13720,60s,USA,56
13725,60s,acoustic,66
13728,60s,alternative,110
13730,60s,alternative rock,23
13733,60s,american,233
13735,60s,americana,25
13738,60s,art rock,32
13751,60s,beatles,15
13759,60s,blues,364
13760,60s,blues rock,179
13761,60s,blues-rock,27
13767,60s,british,328
13769,60s,british invasion,60
13790,60s,classic,60
13794,60s,classic rock,1186
13807,60s,country,47
13808,60s,country rock,37
13814,60s,dance,18
13836,60s,easy listening,24
13840,60s,ellias,20
13844,60s,english,17
13848,60s,experimental,50
13852,60s,favorites,21
13853,60s,female,28
13856,60s,female vocalist,34
13857,60s,female vocalists,307
13863,60s,folk,222
13865,60s,folk rock,173
13868,60s,folk-rock,40
13873,60s,funk,79
13875,60s,funky,19
13881,60s,genius,23
13893,60s,gospel,27
13899,60s,guitar,67
13901,60s,guitar virtuoso,21
13904,60s,hard rock,168
13909,60s,hippie,22
13913,60s,indie,64
13916,60s,indie rock,18
13927,60s,jam band,18
13932,60s,jazz,100
13941,60s,jecks,19
13963,60s,legend,49
13977,60s,male vocalists,129
13989,60s,mod,28
13994,60s,motown,103
14015,60s,oldies,558
14031,60s,pop,489
14032,60s,pop rock,41
14041,60s,proto-punk,42
14042,60s,psychedelic,355
14047,60s,punk,24
14053,60s,r&b,33
14061,60s,rhythm and blues,129
14062,60s,rnb,82
14063,60s,rock,1065
14067,60s,rock n roll,61
14070,60s,rockabilly,96
14090,60s,singer-songwriter,173
14097,60s,soft rock,56
14099,60s,soul,273
14109,60s,sunshine pop,16
14112,60s,surf rock,26
14710,70s,00s,17
14721,70s,60s,255
14729,70s,80's,20
14730,70s,80s,616
14735,70s,90s,81
14738,70s,AOR,25
14739,70s,Acid Rock,24
14744,70s,Avant-Garde,27
14758,70s,Blue-Eyed Soul,20
14770,70s,California,19
14771,70s,Canadian,33
14775,70s,Classic Punk,18
14792,70s,Disco,247
14810,70s,Experimental Rock,24
14823,70s,Fusion,21
14825,70s,Garage Rock,31
14857,70s,Jazz Rock,67
14878,70s,Mellow,19
14910,70s,Pop-Rock,30
14919,70s,Progressive,79
14923,70s,Progressive rock,379
14926,70s,Psychedelic Rock,109
14942,70s,Rock and Roll,72
14959,70s,Soundtrack,48
14961,70s,Southern Rock,114
14977,70s,Symphonic Rock,24
14983,70s,The Beatles,20
15002,70s,UK,72
15003,70s,USA,90
15013,70s,abba,15
15015,70s,acoustic,78
15016,70s,adult contemporary,24
15020,70s,alternative,241
15022,70s,alternative rock,75
15027,70s,american,348
15029,70s,americana,27
15032,70s,arena rock,24
15035,70s,art rock,119
15053,70s,beatles,15
15062,70s,blues,218
15063,70s,blues rock,172
15064,70s,blues-rock,30
15073,70s,british,432
15075,70s,british invasion,19
15090,70s,chicago,16
15092,70s,chillout,16
15098,70s,classic,77
15103,70s,classic rock,1463
15118,70s,country,71
15119,70s,country rock,43
15125,70s,dance,75
15158,70s,easy listening,26
15163,70s,electro,18
15166,70s,electronic,62
15168,70s,electronica,25
15173,70s,england,18
15174,70s,english,34
15183,70s,experimental,77
15187,70s,favorites,43
15190,70s,female,38
15193,70s,female vocalist,47
15194,70s,female vocalists,106
15198,70s,folk,191
15200,70s,folk rock,148
15203,70s,folk-rock,41
15208,70s,funk,268
15210,70s,funky,30
15214,70s,genius,32
15220,70s,glam,67
15221,70s,glam rock,147
15236,70s,groovy,17
15240,70s,guitar,65
15242,70s,guitar virtuoso,24
15243,70s,hair metal,20
15246,70s,hard rock,389
15253,70s,heavy metal,95
15258,70s,hippie,15
15264,70s,indie,104
15267,70s,indie rock,28
15269,70s,instrumental,17
15273,70s,irish,22
15288,70s,jazz,153
15291,70s,jazz fusion,23
15296,70s,jazz-rock,16
15298,70s,jecks,22
15321,70s,legend,53
15337,70s,male vocalist,15
15338,70s,male vocalists,203
15343,70s,melodic rock,16
15345,70s,metal,68
15360,70s,motown,91
15374,70s,new wave,95
15376,70s,new york,32
15387,70s,oldies,307
15403,70s,piano,36
15412,70s,political,15
15414,70s,pop,787
15416,70s,pop rock,120
15419,70s,post-punk,40
15431,70s,proto-punk,73
15432,70s,psychedelic,143
15437,70s,punk,141
15438,70s,punk rock,112
15444,70s,r&b,35
15447,70s,reggae,25
15453,70s,rhythm and blues,131
15454,70s,rnb,129
15456,70s,rock,1479
15461,70s,rock n roll,48
15489,70s,singer-songwriter,275
15497,70s,soft rock,335
15500,70s,soul,295
15527,70s,swedish,111
15533,70s,synth pop,18
15537,70s,synthpop,21
15723,8-bit,electro,38
15725,8-bit,electronic,63
15726,8-bit,electronica,32
15734,8-bit,new rave,55
15748,80's,70s,20
15749,80's,80s,35
15750,80's,80s Pop,15
15752,80's,90s,23
15805,80's,Pop-Rock,15
15831,80's,UK,16
15838,80's,alternative,25
15841,80's,alternative rock,16
15865,80's,british,17
15874,80's,classic rock,31
15881,80's,dance,18
15900,80's,electronic,22
15968,80's,male vocalists,24
15982,80's,new wave,27
15988,80's,oldies,18
15995,80's,pop,35
15997,80's,pop rock,28
15998,80's,post-punk,16
16014,80's,rock,35
16029,80's,soft rock,18
16037,80's,synth pop,15
16040,80's,synthpop,15
16057,80s,00s,67
16072,80s,60s,94
16076,80s,70s,616
16079,80s,80's,35
16081,80s,80s Pop,18
16086,80s,90s,317
16092,80s,AOR,84
16103,80s,Avant-Garde,30
16119,80s,Blue-Eyed Soul,22
16133,80s,California,16
16134,80s,Canadian,50
16164,80s,Disco,190
16187,80s,Experimental Rock,32
16206,80s,Garage Rock,18
16213,80s,Glam Metal,54
16215,80s,Gothic,72
16216,80s,Gothic Rock,42
16218,80s,Grunge,35
16224,80s,Hip-Hop,20
16226,80s,House,18
16235,80s,Italo Disco,17
16247,80s,Jazz Rock,16
16262,80s,Love,24
16266,80s,Madonna,16
16267,80s,Manchester,35
16276,80s,Mellow,16
16289,80s,NWOBHM,19
16314,80s,Phil Collins,18
16320,80s,Pop-Rock,63
16326,80s,Post punk,39
16332,80s,Power metal,15
16335,80s,Progressive,76
16339,80s,Progressive rock,304
16342,80s,Psychedelic Rock,38
16360,80s,Rock and Roll,35
16367,80s,Scottish,49
16385,80s,Soundtrack,94
16387,80s,Southern Rock,31
16402,80s,Symphonic Rock,23
16422,80s,Tina Turner,17
16423,80s,Tom Petty,16
16430,80s,UK,115
16431,80s,USA,109
16446,80s,abba,15
16449,80s,acoustic,52
16450,80s,adult contemporary,42
16455,80s,alternative,828
16462,80s,alternative rock,271
16464,80s,ambient,36
16469,80s,american,386
16471,80s,americana,23
16476,80s,arena rock,28
16479,80s,art rock,131
16487,80s,australian,70
16514,80s,blues,129
16515,80s,blues rock,101
16516,80s,blues-rock,18
16533,80s,british,718
16538,80s,britpop,74
16554,80s,chicago,16
16557,80s,chillout,42
16563,80s,classic,56
16566,80s,classic metal,16
16568,80s,classic rock,1880
16573,80s,college rock,26
16586,80s,country,19
16596,80s,dance,345
16601,80s,dark,16
16605,80s,darkwave,19
16617,80s,diva,42
16626,80s,dream pop,20
16637,80s,easy listening,42
16643,80s,electro,46
16649,80s,electronic,473
16652,80s,electronica,94
16653,80s,electropop,22
16657,80s,england,30
16658,80s,english,52
16662,80s,ethereal,18
16670,80s,experimental,106
16680,80s,favorites,58
16683,80s,female,92
16686,80s,female vocalist,86
16687,80s,female vocalists,762
16692,80s,folk,150
16694,80s,folk rock,58
16697,80s,folk-rock,21
16706,80s,funk,202
16708,80s,funky,33
16714,80s,genius,28
16716,80s,german,25
16721,80s,glam,48
16724,80s,glam rock,235
16728,80s,god,23
16737,80s,goth,66
16743,80s,groovy,21
16747,80s,guitar,105
16750,80s,guitar virtuoso,19
16754,80s,hair metal,190
16757,80s,hard rock,836
16758,80s,hardcore,22
16766,80s,heavy metal,257
16771,80s,hip hop,16
16784,80s,indie,401
16786,80s,indie pop,39
16787,80s,indie rock,153
16789,80s,industrial,15
16791,80s,instrumental,27
16794,80s,irish,21
16811,80s,janet jackson,17
16814,80s,jazz,102
16820,80s,jecks,27
16842,80s,legend,58
16859,80s,male vocalist,19
16860,80s,male vocalists,257
16866,80s,melancholy,15
16872,80s,melodic rock,31
16874,80s,metal,147
16880,80s,michael jackson,16
16901,80s,motown,24
16924,80s,new romantic,57
16926,80s,new wave,1606
16928,80s,new york,39
16934,80s,noise,41
16935,80s,noise pop,24
16936,80s,noise rock,31
16942,80s,norwegian,53
16954,80s,oldies,137
16976,80s,piano,54
16986,80s,political,17
16989,80s,pop,2214
16991,80s,pop rock,215
17000,80s,post-punk,515
17015,80s,proto-punk,25
17016,80s,psychedelic,88
17023,80s,punk,197
17025,80s,punk rock,81
17034,80s,r&b,39
17040,80s,reggae,35
17045,80s,rhythm and blues,39
17046,80s,rnb,138
17050,80s,rock,2866
17053,80s,rock n roll,31
17080,80s,sexy,29
17081,80s,shoegaze,40
17086,80s,singer-songwriter,473
17102,80s,soft rock,324
17105,80s,soul,394
17114,80s,speed metal,18
17123,80s,sting,17
17136,80s,swedish,114
17141,80s,synth,17
17142,80s,synth pop,322
17146,80s,synthpop,382
17152,80s,techno,21
17171,80s,thrash metal,18
17209,80s,whitney houston,19
17246,80s Pop,80's,15
17247,80s Pop,80s,18
17248,80s Pop,90s,15
17297,80s Pop,classic rock,15
17343,80s Pop,new wave,17
17350,80s Pop,pop,18
17351,80s Pop,pop rock,16
17359,80s Pop,rock,18
17649,80s-influenced,Lo-Fi,24
17666,80s-influenced,experimental,24
17674,80s-influenced,indie,24
17676,80s-influenced,indie rock,16
17684,80s-influenced,post-punk,24
17911,90s,00s,181
17923,90s,60s,29
17925,90s,70s,81
17926,90s,80's,23
17927,90s,80s,317
17928,90s,80s Pop,15
17942,90s,Acoustic Rock,16
17959,90s,Avant-Garde,23
17961,90s,Awesome,24
17963,90s,Ballad,20
17993,90s,California,69
17994,90s,Canadian,57
17998,90s,Celine Dion,18
18034,90s,Disco,42
18057,90s,Experimental Rock,41
18060,90s,Favorite,15
18070,90s,Funk Rock,21
18077,90s,Gangsta Rap,31
18088,90s,Gothic,15
18091,90s,Great Lyricists,15
18092,90s,Grunge,272
18100,90s,Hip-Hop,146
18101,90s,House,26
18142,90s,Lo-Fi,55
18144,90s,Love,45
18149,90s,Manchester,22
18159,90s,Mellow,56
18187,90s,Neo-Psychedelia,16
18188,90s,Neo-Soul,16
18201,90s,Nu Metal,32
18202,90s,Nu-metal,16
18224,90s,Pop-Rock,68
18231,90s,Post punk,15
18240,90s,Progressive,19
18245,90s,Progressive rock,68
18248,90s,Psychedelic Rock,29
18275,90s,Rock and Roll,16
18284,90s,Scottish,32
18309,90s,Soundtrack,38
18355,90s,UK,140
18356,90s,USA,158
18366,90s,West Coast Rap,19
18383,90s,acoustic,96
18384,90s,adult contemporary,30
18398,90s,alternative,1019
18403,90s,alternative metal,56
18405,90s,alternative rap,20
18406,90s,alternative rock,879
18410,90s,ambient,41
18413,90s,american,487
18415,90s,americana,16
18429,90s,art rock,34
18439,90s,australian,23
18444,90s,backstreet boys,27
18459,90s,beautiful,38
18489,90s,blues,54
18490,90s,blues rock,31
18502,90s,boybands,73
18507,90s,brit pop,18
18509,90s,british,338
18515,90s,britpop,199
18543,90s,chill,40
18546,90s,chillout,82
18554,90s,classic,24
18557,90s,classic rock,236
18562,90s,college rock,24
18575,90s,country,22
18580,90s,crossover,39
18588,90s,dance,243
18591,90s,dance-pop,22
18613,90s,diva,59
18621,90s,downtempo,19
18624,90s,dream pop,37
18636,90s,east coast rap,18
18637,90s,easy listening,35
18644,90s,electro,34
18646,90s,electronic,210
18650,90s,electronica,94
18651,90s,electropop,26
18656,90s,emo,52
18659,90s,england,30
18660,90s,english,63
18670,90s,experimental,132
18681,90s,favorites,123
18684,90s,female,156
18689,90s,female vocalist,150
18690,90s,female vocalists,386
18691,90s,female vocals,17
18695,90s,folk,125
18698,90s,folk rock,53
18706,90s,french,33
18711,90s,funk,114
18712,90s,funk metal,21
18713,90s,funky,29
18717,90s,gangsta,19
18725,90s,genius,33
18735,90s,glam,15
18738,90s,glam rock,35
18763,90s,groovy,19
18766,90s,guitar,33
18773,90s,hair metal,15
18778,90s,hard rock,199
18779,90s,hardcore,41
18786,90s,heavy metal,62
18789,90s,hip hop,113
18792,90s,hiphop,59
18813,90s,indie,500
18815,90s,indie pop,125
18816,90s,indie rock,336
18822,90s,industrial,22
18830,90s,irish,26
18841,90s,jazz,78
18850,90s,jecks,20
18865,90s,latin,16
18870,90s,legend,71
18880,90s,los angeles,17
18885,90s,madchester,15
18890,90s,male vocalist,30
18891,90s,male vocalists,263
18905,90s,melancholic,17
18906,90s,melancholy,20
18913,90s,metal,121
18951,90s,new romantic,18
18952,90s,new wave,97
18953,90s,new york,41
18962,90s,noise,31
18963,90s,noise pop,24
18964,90s,noise rock,35
18983,90s,old school,22
18990,90s,oldies,41
19008,90s,piano,27
19010,90s,piano rock,15
19016,90s,political,32
19021,90s,pop,894
19023,90s,pop punk,28
19024,90s,pop rock,261
19033,90s,post-grunge,72
19035,90s,post-punk,112
19036,90s,post-rock,27
19038,90s,power pop,20
19052,90s,psychedelic,79
19057,90s,punk,189
19059,90s,punk rock,91
19071,90s,r and b,38
19073,90s,r&b,80
19079,90s,rap,101
19083,90s,rapcore,27
