,tag_1,tag_2,score
180,60s,70s,5.12750864535
181,80's,70s,0.0488997072702
182,80s,70s,27.9187067671
183,90s,70s,0.100052960071
184,AOR,70s,0.0769143170197
185,Acid Rock,70s,0.131081307612
186,Avant-Garde,70s,0.0275453277015
187,Blue-Eyed Soul,70s,0.0449951679064
188,California,70s,0.00591600206299
189,Canadian,70s,0.0111795143218
190,Classic Punk,70s,0.193860417016
191,Disco,70s,12.3459639729
192,Experimental Rock,70s,0.0175600549484
193,Fusion,70s,0.0391400591947
194,Garage Rock,70s,0.0165791302383
195,Jazz Rock,70s,1.80118819998
196,Mellow,70s,0.00276871156721
197,Pop-Rock,70s,0.0339760407596
198,Progressive,70s,0.436060537445
199,Progressive rock,70s,15.6244541516
200,Psychedelic Rock,70s,0.527793857265
201,Rock and Roll,70s,0.441338503326
202,Soundtrack,70s,0.0671549556237
203,Southern Rock,70s,2.51899287841
204,Symphonic Rock,70s,0.188467133525
205,The Beatles,70s,0.10807058593
206,UK,70s,0.114892200117
207,USA,70s,0.176315985881
208,abba,70s,0.133129453043
209,acoustic,70s,0.0585776259027
210,adult contemporary,70s,0.0617785014726
211,alternative,70s,0.360378369877
212,alternative rock,70s,0.0230300148038
213,american,70s,2.68870737605
214,americana,70s,0.0135200424335
215,arena rock,70s,0.152034825185
216,art rock,70s,1.09883817481
217,beatles,70s,0.0832059081519
218,blues,70s,2.18663372184
219,blues rock,70s,2.57815188704
220,blues-rock,70s,0.203769570984
221,british,70s,4.82469152094
222,british invasion,70s,0.0502274432576
223,chicago,70s,0.0149601711842
224,chillout,70s,0.00060564467509
225,classic,70s,0.679729224248
226,classic rock,70s,258.342845101
227,country,70s,0.285175184296
228,country rock,70s,0.291831359887
229,dance,70s,0.03938306214
230,easy listening,70s,0.0208156148624
231,electro,70s,0.0011224028828
232,electronic,70s,0.00827526320405
233,electronica,70s,0.00163312151665
234,england,70s,0.00798037794375
235,english,70s,0.0235667253182
236,experimental,70s,0.0404462602516
237,favorites,70s,0.0380916722379
238,female,70s,0.0214842637121
239,female vocalist,70s,0.0261029417548
240,female vocalists,70s,0.0570900402165
241,folk,70s,0.47281927056
242,folk rock,70s,1.00278357693
243,folk-rock,70s,0.179804331436
244,funk,70s,4.41684372377
245,funky,70s,0.0280962616341
246,genius,70s,0.0722368921562
247,glam,70s,1.01689939519
248,glam rock,70s,2.82123332712
249,groovy,70s,0.0105861455499
250,guitar,70s,0.231404006721
251,guitar virtuoso,70s,0.119234308965
252,hair metal,70s,0.0215550622211
253,hard rock,70s,7.8081321237
254,heavy metal,70s,0.310197613368
255,hippie,70s,0.0321051735634
256,indie,70s,0.0271153026529
257,indie rock,70s,0.00115564008091
258,instrumental,70s,0.00134072298128
259,irish,70s,0.0109455827041
260,jazz,70s,0.856092190787
261,jazz fusion,70s,0.0767489246707
262,jazz-rock,70s,0.111171914305
263,jecks,70s,0.0198746921276
264,legend,70s,0.210134791992
265,male vocalist,70s,0.00532517812172
266,male vocalists,70s,1.01795612682
267,melodic rock,70s,0.0475205437616
268,metal,70s,0.0481982270342
269,motown,70s,1.2399270184
270,new wave,70s,0.205084563754
271,new york,70s,0.0245112286406
272,oldies,70s,10.9323870319
273,piano,70s,0.015489688802
274,political,70s,0.00930541377282
275,pop,70s,15.6042666548
276,pop rock,70s,0.353636621254
277,post-punk,70s,0.0176441772948
278,proto-punk,70s,0.607324777889
279,psychedelic,70s,0.491230958548
280,punk,70s,0.498985530805
281,punk rock,70s,0.397625979155
282,r&b,70s,0.015909041067
283,reggae,70s,0.0124128637296
284,rhythm and blues,70s,1.63652190082
285,rnb,70s,0.312864380209
286,rock,70s,73.6784173972
287,rock n roll,70s,0.206161905355
288,singer-songwriter,70s,1.15440168354
289,soft rock,70s,19.1039799637
290,soul,70s,2.67853934604
291,swedish,70s,0.513913846182
292,synth pop,70s,0.00417559949525
293,synthpop,70s,0.00211845986517
294,00s,80s,0.0331519854434
295,60s,80s,0.143888219576
296,70s,80s,27.9187067671
297,80's,80s,0.146816958674
298,80s Pop,80s,0.0732252791671
299,90s,80s,3.35976181468
300,AOR,80s,1.63448461925
301,Avant-Garde,80s,0.0211678248407
302,Blue-Eyed Soul,80s,0.0335505582089
303,California,80s,0.00197917082278
304,Canadian,80s,0.0217844674773
305,Disco,80s,3.14811628841
306,Experimental Rock,80s,0.0233183543912
307,Garage Rock,80s,0.00181823492289
308,Glam Metal,80s,0.622851777928
309,Gothic,80s,0.349298226089
310,Gothic Rock,80s,0.0913620959979
311,Grunge,80s,0.0127415112064
312,Hip-Hop,80s,0.000445872088153
313,House,80s,0.000721162191305
314,Italo Disco,80s,0.0411243480279
315,Jazz Rock,80s,0.0137420160367
316,Love,80s,0.00561828745394
317,Madonna,80s,0.0771426809333
