,tag_1,tag_2,count,number_of_pairs_x,number_of_pairs_y,totalPairs,pair_percent_of_total,pair_percent_of_x,pair_percent_of_y,perc_x_y_sum,score
2902,shoegaze,Scottish,24,6259,2680,2435982,9.85228954894e-06,0.00383447835117,0.0089552238806,0.0127897022318,0.0338313949119
5195,shoegaze,art rock,27,6259,4537,2435982,1.10838257426e-05,0.00431378814507,0.00595106898832,0.0102648571334,0.0284540104571
1399,shoegaze,Experimental Rock,21,6259,2329,2435982,8.62075335532e-06,0.00335516855728,0.00901674538429,0.0123719139416,0.0260801070225
13864,shoegaze,new wave,35,6259,12368,2435982,1.43679222589e-05,0.00559194759546,0.0028298835705,0.00842183116597,0.0227366056877
13483,shoegaze,melancholic,21,6259,2918,2435982,8.62075335532e-06,0.00335516855728,0.00719671007539,0.0105518786327,0.020815822226
5929,shoegaze,british,53,6259,49436,2435982,2.17571394206e-05,0.00846780635884,0.00107209321142,0.00953989957027,0.01975173539
760,shoegaze,All,26,6259,6358,2435982,1.0673313678e-05,0.00415401821377,0.00408933626927,0.00824335448304,0.0181309472305
2262,shoegaze,Mellow,27,6259,7329,2435982,1.10838257426e-05,0.00431378814507,0.00368399508801,0.00799778323308,0.0176143874258
438,shoegaze,80s,40,6259,24769,2435982,1.64204825816e-05,0.00639079725196,0.00161492187815,0.00800571913011,0.0169469861453
26267,shoegaze,danish,16,6259,1650,2435982,6.56819303263e-06,0.00255631890078,0.00969696969697,0.0122532885978,0.0162815961147
12637,shoegaze,indietronica,23,6259,5024,2435982,9.4417774844e-06,0.00367470841988,0.00457802547771,0.00825273389758,0.015883816124
13941,shoegaze,new york,21,6259,3955,2435982,8.62075335532e-06,0.00335516855728,0.00530973451327,0.00866490307055,0.0153579189015
2773,shoegaze,Progressive rock,28,6259,10308,2435982,1.14943378071e-05,0.00447355807637,0.00271633682577,0.00718989490214,0.0139675636052
6497,shoegaze,chillwave,20,6259,4207,2435982,8.21024129078e-06,0.00319539862598,0.00475398145947,0.00794938008545,0.0124720673827
96,shoegaze,10s,20,6259,5092,2435982,8.21024129078e-06,0.00319539862598,0.00392772977219,0.00712312839817,0.0103043965984
5476,shoegaze,beautiful,18,6259,3802,2435982,7.3892171617e-06,0.00287585876338,0.00473435034193,0.00761020910531,0.0100606577781
6027,shoegaze,britpop,24,6259,11623,2435982,9.85228954894e-06,0.00383447835117,0.00206487137572,0.00589934972689,0.00780075181655
15679,shoegaze,punk,27,6259,16620,2435982,1.10838257426e-05,0.00431378814507,0.00162454873646,0.00593833688153,0.00776749972586
21832,shoegaze,french,17,6259,4525,2435982,6.97870509716e-06,0.00271608883208,0.00375690607735,0.00647299490943,0.00712113393604
10193,shoegaze,folk rock,21,6259,9564,2435982,8.62075335532e-06,0.00335516855728,0.00219573400251,0.00555090255979,0.00635095872599
14904,shoegaze,pop punk,18,6259,6184,2435982,7.3892171617e-06,0.00287585876338,0.0029107373868,0.00578659615019,0.00618541734674
11047,shoegaze,hardcore,17,6259,5329,2435982,6.97870509716e-06,0.00271608883208,0.00319009194971,0.00590618078179,0.00604675005828
13394,shoegaze,male vocalists,28,6259,24312,2435982,1.14943378071e-05,0.00447355807637,0.00115169463639,0.00562525271276,0.00592208150882
1601,shoegaze,Grunge,17,6259,5577,2435982,6.97870509716e-06,0.00271608883208,0.00304823381746,0.00576432264955,0.00577786104726
3491,shoegaze,acoustic,27,6259,23967,2435982,1.10838257426e-05,0.00431378814507,0.00112654900488,0.00544033714995,0.00538639985996
17467,shoegaze,singer-songwriter,32,6259,53297,2435982,1.31363860653e-05,0.00511263780157,0.000600409028651,0.00571304683022,0.0040324421396
12034,shoegaze,indie folk,19,6259,12598,2435982,7.79972922624e-06,0.00303562869468,0.00150817590094,0.00454380459562,0.00357092042505
8701,shoegaze,emo,17,6259,9178,2435982,6.97870509716e-06,0.00271608883208,0.00185225539333,0.00456834422541,0.00351090989982
18099,shoegaze,synthpop,18,6259,12933,2435982,7.3892171617e-06,0.00287585876338,0.00139178844816,0.00426764721154,0.00295759845915
18345,shoegaze,trip-hop,17,6259,12332,2435982,6.97870509716e-06,0.00271608883208,0.00137852740837,0.00409461624045,0.00261296878532
