,tag_1,tag_2,count,number_of_pairs_x,number_of_pairs_y,totalPairs,pair_percent_of_total,pair_percent_of_x,pair_percent_of_y,perc_x_y_sum,score
43,chillout,10s,31,20008,5092,2435982,1.27258740007e-05,0.0015493802479,0.0060879811469,0.0076373613948,0.0120038050321
44,chillwave,10s,20,4207,5092,2435982,8.21024129078e-06,0.00475398145947,0.00392772977219,0.00868171123166,0.0153304536034
45,cute,10s,17,711,5092,2435982,6.97870509716e-06,0.0239099859353,0.00333857030636,0.0272485562417,0.0557076314265
46,dance,10s,105,31691,5092,2435982,4.31037667766e-05,0.00331324350762,0.020620581304,0.0239338248116,0.294489275722
47,dance pop,10s,46,1086,5092,2435982,1.88835549688e-05,0.0423572744015,0.00903377847604,0.0513910528775,0.722572118941
48,dance-pop,10s,15,1198,5092,2435982,6.15768096809e-06,0.0125208681135,0.00294579732914,0.0154666654427,0.0227119534426
49,deep,10s,18,463,5092,2435982,7.3892171617e-06,0.0388768898488,0.00353495679497,0.0424118466438,0.101548626669
50,deep house,10s,15,2959,5092,2435982,6.15768096809e-06,0.00506928016222,0.00294579732914,0.00801507749136,0.00919530930188
51,discovered on facebook,10s,33,755,5092,2435982,1.35468981298e-05,0.0437086092715,0.00648075412412,0.0501893633956,0.383735870924
52,downtempo,10s,28,13047,5092,2435982,1.14943378071e-05,0.00214608722312,0.00549882168107,0.00764490890418,0.0135644116687
53,dream pop,10s,51,10987,5092,2435982,2.09361152915e-05,0.00464184945845,0.0100157109191,0.0146575603775,0.0973349777459
54,dubstep,10s,23,8058,5092,2435982,9.4417774844e-06,0.00285430627947,0.00451688923802,0.00737119551749,0.012172892175
55,electro,10s,56,15372,5092,2435982,2.29886756142e-05,0.00364298724954,0.0109976433621,0.0146406306117,0.0921024611194
56,electronic,10s,154,85203,5092,2435982,6.3218857939e-05,0.00180744809455,0.0302435192459,0.0320509673404,0.345576980862
57,electronica,10s,67,28305,5092,2435982,2.75043083241e-05,0.00236707295531,0.0131578947368,0.0155249676922,0.0856640847217
58,electropop,10s,84,12108,5092,2435982,3.44830134213e-05,0.00693756194252,0.0164964650432,0.0234340269857,0.394641702519
59,england,10s,23,2162,5092,2435982,9.4417774844e-06,0.0106382978723,0.00451688923802,0.0151551871104,0.0453696416033
60,english,10s,35,4934,5092,2435982,1.43679222589e-05,0.00709363599514,0.00687352710134,0.0139671630965,0.0700555453236
61,experimental,10s,82,33393,5092,2435982,3.36619892922e-05,0.002455604468,0.016103692066,0.018559296534,0.133113974219
62,female,10s,39,7556,5092,2435982,1.6009970517e-05,0.00516146109052,0.00765907305577,0.0128205341463,0.0632906275624
63,female vocalist,10s,57,11767,5092,2435982,2.33991876787e-05,0.0048440554092,0.0111940298507,0.0160380852599,0.126880927216
64,female vocalists,10s,164,61719,5092,2435982,6.73239785844e-05,0.00265720442651,0.032207384132,0.0348645885585,0.57616940535
65,folk,10s,91,43598,5092,2435982,3.73565978731e-05,0.00208725170879,0.0178711704635,0.0199584221723,0.139346203256
66,folk rock,10s,35,9564,5092,2435982,1.43679222589e-05,0.00365955667085,0.00687352710134,0.0105330837722,0.0361411606678
67,funk,10s,16,12893,5092,2435982,6.56819303263e-06,0.00124098347941,0.00314218381775,0.00438316729716,0.00256120001353
68,indie,10s,253,122729,5092,2435982,0.000103859552328,0.00206145246845,0.0496857816182,0.0517472340867,1.06378018895
69,indie electronic,10s,16,864,5092,2435982,6.56819303263e-06,0.0185185185185,0.00314218381775,0.0216607023363,0.0382193886278
70,indie folk,10s,69,12598,5092,2435982,2.83253324532e-05,0.00547705985077,0.0135506677141,0.0190277275648,0.210224437129
71,indie pop,10s,193,41195,5092,2435982,7.9228828456e-05,0.00468503459158,0.0379025923016,0.0425876268932,1.40690557305
72,indie rock,10s,135,56197,5092,2435982,5.54191287128e-05,0.00240226346602,0.0265121759623,0.0289144394283,0.352960173025
73,indietronica,10s,34,5024,5092,2435982,1.39574101943e-05,0.00676751592357,0.00667714061273,0.0134446565363,0.0630702642424
74,jazz,10s,22,12377,5092,2435982,9.03126541986e-06,0.00177749050658,0.00432050274941,0.006097993256,0.00693569811503
75,london,10s,32,2125,5092,2435982,1.31363860653e-05,0.0150588235294,0.00628436763551,0.0213431911649,0.124316430209
76,los angeles,10s,24,1484,5092,2435982,9.85228954894e-06,0.0161725067385,0.00471327572663,0.0208857824652,0.0750995533953
77,love at first listen,10s,21,329,5092,2435982,8.62075335532e-06,0.063829787234,0.0041241162608,0.0679539034948,0.226933972934
78,male vocalists,10s,88,24312,5092,2435982,3.61250616794e-05,0.00361961171438,0.0172820109976,0.020901622712,0.225977322987
79,new wave,10s,24,12368,5092,2435982,9.85228954894e-06,0.0019404915912,0.00471327572663,0.00665376731783,0.00901097487375
80,new york,10s,27,3955,5092,2435982,1.10838257426e-05,0.00682680151707,0.00530243519246,0.0121292367095,0.0401219779388
81,noise,10s,18,2617,5092,2435982,7.3892171617e-06,0.00687810470004,0.00353495679497,0.010413061495,0.0179659969994
82,noise pop,10s,15,2096,5092,2435982,6.15768096809e-06,0.00715648854962,0.00294579732914,0.0101022858788,0.0129813550688
83,piano,10s,27,8911,5092,2435982,1.10838257426e-05,0.00302996296712,0.00530243519246,0.00833239815958,0.0178074764614
84,pop,10s,241,92415,5092,2435982,9.89334075539e-05,0.00260780176378,0.0473291437549,0.0499369455187,1.22108582574
85,pop rock,10s,53,14456,5092,2435982,2.17571394206e-05,0.00366629773105,0.0104084838963,0.0140747816274,0.0830265513994
86,post-punk,10s,17,10731,5092,2435982,6.97870509716e-06,0.00158419532196,0.00333857030636,0.00492276562833,0.00369100046074
87,power pop,10s,61,2430,5092,2435982,2.50412359369e-05,0.0251028806584,0.0119795758052,0.0370824564636,0.753044709212
88,powerpop,10s,23,1431,5092,2435982,9.4417774844e-06,0.01607267645,0.00451688923802,0.0205895656881,0.0685458875935
89,private:watchlist,10s,22,246,5092,2435982,9.03126541986e-06,0.0894308943089,0.00432050274941,0.0937513970584,0.348955835649
90,psychedelic,10s,45,17611,5092,2435982,1.84730429043e-05,0.00255522116859,0.00883739198743,0.011392613156,0.0417148853589
91,psychedelic pop,10s,23,2301,5092,2435982,9.4417774844e-06,0.00999565406345,0.00451688923802,0.0145125433015,0.0426289287902
92,r&b,10s,32,7973,5092,2435982,1.31363860653e-05,0.00401354571679,0.00628436763551,0.0102979133523,0.0331333769215
93,rnb,10s,34,20299,5092,2435982,1.39574101943e-05,0.0016749593576,0.00667714061273,0.00835209997033,0.0156098826323
94,rock,10s,160,129905,5092,2435982,6.56819303263e-05,0.00123166929679,0.0314218381775,0.0326535074743,0.254197696581
95,sexy,10s,25,4616,5092,2435982,1.02628016135e-05,0.00541594454073,0.00490966221524,0.010325606756,0.0272892598051
96,shoegaze,10s,20,6259,5092,2435982,8.21024129078e-06,0.00319539862598,0.00392772977219,0.00712312839817,0.0103043965984
97,singer-songwriter,10s,111,53297,5092,2435982,4.55668391638e-05,0.00208266881813,0.0217989002357,0.0238815690538,0.206872947613
98,singer-songwriters,10s,19,333,5092,2435982,7.79972922624e-06,0.0570570570571,0.00373134328358,0.0607884003406,0.166055819213
99,someone special to me made me discover,10s,33,755,5092,2435982,1.35468981298e-05,0.0437086092715,0.00648075412412,0.0501893633956,0.383735870924
100,soul,10s,62,28355,5092,2435982,2.54517480014e-05,0.00218656321636,0.0121759622938,0.0143625255102,0.0677614899896
101,summer,10s,23,606,5092,2435982,9.4417774844e-06,0.0379537953795,0.00451688923802,0.0424706846176,0.161863308822
102,synthpop,10s,46,12933,5092,2435982,1.88835549688e-05,0.00355679270084,0.00903377847604,0.0125905711769,0.0606752741955
103,teen pop,10s,22,922,5092,2435982,9.03126541986e-06,0.0238611713666,0.00432050274941,0.028181674116,0.0931053531125
104,trip-hop,10s,23,12332,5092,2435982,9.4417774844e-06,0.00186506649367,0.00451688923802,0.0063819557317,0.00795403544812
